Name.of.School,Code,Level.of.Education,Status.of.School,Sponsor.of.School,School.Institution.Type_1,School.Institution.Type_2,School.Institution.Type_3,Pupil.Teacher.Ratio,Pupil.Classroom.Ratio,Pupil.Toilet.Ratio,Total.Number.of.Classrooms,Boys.Toilets,Girls.Toilets,Teachers.Toilets,Total.Toilets,Total.Boys,Total.Girls,Total.Enrolment,GOK.TSC.Male,GOK.TSC.Female,Local.Authority.Male,Local.Authority.Female,PTA.BOG.Male,PTA.BOG.Female,Others.Male,Others.Female,Non.Teaching.Staff.Male,Non.Teaching.Staff.Female,Province,District,Division,Location,Costituency,Geolocation,_Geolocation_latitude,_Geolocation_longitude,_Geolocation_altitude,_Geolocation_precision,meta/instanceID,_uuid,_submission_time
GITHIMA PRI SCH,1269,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,INTEGRATED,41,35.4,20,22,20,19,4,0,0,0,779,16,3,0,0,0,0,0,0,2,0,CENTRAL,MARAGUA,KIGUMO,KIGUMO,KIGUMO,-0.822725 37.006405,n/a,n/a,n/a,n/a,uuid:efe74eca-38d2-4379-a14f-ff0f82a5ce14,efe74eca-38d2-4379-a14f-ff0f82a5ce14,2013-03-04T08:31:32
CGM ST. MICHAEL ACADEMY PRI,1240,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,4.5,4.5,4.5,2,1,1,1,0,0,0,9,0,0,0,0,1,1,0,0,0,0,CENTRAL,MARAGUA,MARAGUA,NGINDA,MARAGWA,-0.787619 37.029571,n/a,n/a,n/a,n/a,uuid:b8509489-f230-438f-81ac-9b5f73f25235,b8509489-f230-438f-81ac-9b5f73f25235,2013-03-04T08:31:33
RAIMU PRI SPECIAL UNIT,686,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,SPECIAL SCHOOL,10,10,2.2,2,4,5,4,0,0,0,20,0,2,0,0,0,0,0,0,0,0,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,GICHUGU,-0.499618 37.354496,n/a,n/a,n/a,n/a,uuid:b6ad49ad-3a8b-4653-90d3-5aa7f3f4eefb,b6ad49ad-3a8b-4653-90d3-5aa7f3f4eefb,2013-03-04T08:22:10
WINNERS ACADEMY KARUMANDI,696,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.9,18.5,22.2,6,2,3,1,0,0,0,111,0,0,0,0,0,0,3,4,1,2,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,GICHUGU,-0.448789 37.346024,n/a,n/a,n/a,n/a,uuid:7ebc0173-80b3-47a3-b30e-bc7c327f8d4c,7ebc0173-80b3-47a3-b30e-bc7c327f8d4c,2013-03-04T08:22:09
MATHARE INI PRI,1272,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,33.5,24.7,14.2,19,15,18,2,0,0,0,469,6,8,0,0,0,0,0,0,1,1,CENTRAL,MARAGUA,KIGUMO,KIGUMO,KIGUMO,-0.81807 36.975173,n/a,n/a,n/a,n/a,uuid:6b4d4921-fbf8-4a3b-aa9b-6eb454981d3b,6b4d4921-fbf8-4a3b-aa9b-6eb454981d3b,2013-03-04T08:31:32
ST LUKES ACADEMY,640,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.8,19,23.8,5,2,2,1,0,0,0,95,0,0,0,0,0,0,1,5,1,1,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,GICHUGU,-0.439374 37.380853,n/a,n/a,n/a,n/a,uuid:04a7cee3-8f7f-432e-849c-796de513328b,04a7cee3-8f7f-432e-849c-796de513328b,2013-03-04T08:22:09
FATHER'S HOUSE CHRISTIAN SCH. PRI,386,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY & BOARDING,INTEGRATED,7.3,7.3,8.3,9,4,4,1,9,33,33,66,0,0,0,0,0,0,1,8,3,2,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,-1.127348 36.968463,n/a,n/a,n/a,n/a,uuid:360c5578-fbaf-46b8-aa04-5a0cf0e6543e,360c5578-fbaf-46b8-aa04-5a0cf0e6543e,2013-03-04T08:18:31
KAVOTE PRI,697,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,32.5,34.6,NA,16,0,0,0,0,0,0,553,14,3,0,0,0,0,0,0,2,1,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,GICHUGU,-0.430777 37.32679,n/a,n/a,n/a,n/a,uuid:d5c7a413-e8e9-4600-b0f2-b61cff979e2a,d5c7a413-e8e9-4600-b0f2-b61cff979e2a,2013-03-04T08:22:08
MUKUI PRI SCH,41,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING ONLY,ORDINARY,23.9,23.9,14.7,8,7,6,2,0,0,0,191,3,4,0,0,0,1,0,0,0,0,CENTRAL,NYERI,MUKURWE-INI,GIKONDI,MUKURWE-INI,-0.596315 37.074746,n/a,n/a,n/a,n/a,uuid:e8d8b695-7473-4b4e-bd0d-525e9c007b32,e8d8b695-7473-4b4e-bd0d-525e9c007b32,2013-03-04T08:13:52
GATHIMA INI PRI,1219,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,40,40,22.7,17,14,16,2,0,0,0,680,11,6,0,0,0,0,0,0,1,1,CENTRAL,MARAGUA,MARAGUA,KAHUMBU,KIGUMO,-0.851336 37.040256,n/a,n/a,n/a,n/a,uuid:2a121922-95ef-48bc-8824-c995553672d4,2a121922-95ef-48bc-8824-c995553672d4,2013-03-04T08:31:28
